a|b|paa|pbb|pab|acore|bcore|sbm_pmat|na|N|taa|tbb
47|95|0.5823613531751352|0.4081981498860437|0.00944049693882111|(0.49995093539651014, 0.21105527638190955)|(0.7132451821013707, 0.30150753768844224)|(0.0006826893970305617, 1.0853453967226423e-05, 0.0018414109571436132)|0.6703340668133627|16223|0.9919598085578085|0.9885685682977313
47|96|0.9163725128637409|0.07814832376235885|0.005479163373900216|(0.0957164881016189, 0.04522613065326633)|(1.1223241685818903, 0.4623115577889447)|(0.0006999636677795715, 2.0994850407316922e-05, 0.006014033646153181)|0.9113407669295621|11647|0.9970193171179089|0.9661311333043855
47|97|0.7875471698113208|0.20147924528301886|0.010973584905660378|(0.2467661295214851, 0.11055276381909548)|(0.9645497845939665, 0.40703517587939697)|(0.0006903521973807899, 2.0559710546424505e-05, 0.003228638809941344)|0.8187148790618128|13170|0.9930812642157655|0.9734894067024031
47|98|0.31775894779866154|0.6757074968125278|0.0065335553888106|(0.827575943781687, 0.34673366834170855)|(0.3891740865794547, 0.1658291457286432)|(0.0006713911526814735, 7.536444302481884e-06, 0.001702345364814376)|0.5369977164376427|20761|0.9898239379744791|0.9951886576309866
51|52|0.04658023767971412|0.9160226045042799|0.037397157816005985|(1.121897839482686, 0.49748743718592964)|(0.057051515747375735, 0.06030150753768844)|(0.0014904486968545683, 0.00010187195374560536, 0.0008503074028082631)|0.11587147030185005|9648|0.7135582431572247|0.9799955545676817
51|61|0.014079365578877805|0.9774616861251849|0.008458948295937314|(1.1971412610674277, 0.49748743718592964)|(0.017254016659687822, 0.01507537688442211)|(0.0015785915604275252, 2.2449432152972036e-05, 0.0002457656659411386)|0.036219753462182314|33119|0.768992781024407|0.9956916448684413
51|62|0.08286579063930312|0.8967591909050642|0.02037501845563266|(1.0983030505114757, 0.46733668341708545)|(0.10151180919932694, 0.06030150753768844)|(0.0030340461877784025, 6.45841325912242e-05, 0.0009852884810712477)|0.15476319497127994|7668|0.8905196350654502|0.9887672459403362
51|63|0.06006254844831734|0.9371842506214749|0.002753200930207693|(1.1478125046774783, 0.4723618090452261)|(0.07363899929835363, 0.035175879396984924)|(0.003528824227804685, 1.05165623093554e-05, 0.0009318915916193281)|0.13116561036098098|9311|0.9775940830976725|0.9985332858668566
51|64|0.02021897876104597|0.9649146560517028|0.014866365187251212|(1.1817742990178968, 0.49748743718592964)|(0.024763996395084097, 0.02512562814070352)|(0.0013773545691893162, 4.015354598963351e-05, 0.00041358090433283294)|0.05570291777188329|21934|0.731189815570426|0.9923554284812507
51|65|0.32326283987915405|0.6547259387138541|0.0220112214069918|(0.8018793268952664, 0.35175879396984927)|(0.395927715967417, 0.18592964824120603)|(0.0035039405686769234, 5.828213964781589e-05, 0.0016961811883778604)|0.32820041369800046|3621|0.9670755326016784|0.9834683954619124
51|66|0.1799871609693468|0.7774835499919756|0.04252928903867758|(0.9522198218041202, 0.4321608040201005)|(0.22045420840368893, 0.1306532663316583)|(0.002576561674363039, 0.00010136711727219175, 0.0012354037726418439)|0.23764353469795307|4878|0.8943381180223285|0.973377536668676
51|67|0.05360165955316054|0.9113474331767567|0.03505090727008274|(1.1161708001259822, 0.49246231155778897)|(0.06568495477154855, 0.06030150753768844)|(0.0016345393878184644, 0.00013022868156482785, 0.0016514569816217782)|0.1673895205720314|7345|0.7536037546094535|0.981132559811069
51|68|0.017030153612744167|0.9799506922055756|0.003019154181680258|(1.2001898204788115, 0.49246231155778897)|(0.020962909860014842, 0.010050251256281407)|(0.0027555276252384238, 1.2872990450990343e-05, 0.00044078264083027044)|0.05220633934120572|22999|0.9185761047463176|0.9984619070806379
51|71|0.006181979612151092|0.9917830957875958|0.0020349246002531246|(1.2146814187839725, 0.49748743718592964)|(0.007572689393022451, 0.005025125628140704)|(0.0023907908697808084, 1.0861045433018697e-05, 0.0002924389158007955)|0.02710500341659707|46006|0.8586748372271161|0.9989751594196459
51|72|0.01802901997332605|0.9797776099497051|0.0021933700769688107|(1.1999777233122544, 0.49246231155778897)|(0.022141557097663637, 0.010050251256281407)|(0.003247937472861485, 1.0956853596207918e-05, 0.0005433626777873757)|0.05946283572767021|20775|0.9426591052299936|0.9988819311056596
51|73|0.0065856948481117185|0.9926326028629112|0.0007817022889771161|(1.2157218142800783, 0.49748743718592964)|(0.008177056566358932, 0.005025125628140704)|(0.0029940839786446057, 5.430834202266806e-06, 0.0004218929696645645)|0.03320158102766799|37203|0.9439764111204717|0.9996064029072916
51|74|0.007094984099633848|0.9920403147132233|0.0008647011871428753|(1.2149965865081707, 0.49748743718592964)|(0.008732672631755017, 0.005025125628140704)|(0.0033553528363216944, 8.335127573859917e-06, 0.0007803440336460794)|0.046726219691764014|27092|0.9425625920471281|0.9995643702756914
51|75|0.006722936795370047|0.9921279974973228|0.0011490657073070954|(1.2151037386527381, 0.49748743718592964)|(0.008265980135664694, 0.005025125628140704)|(0.0028630904723779024, 7.687470128040651e-06, 0.0004174335082223898)|0.033637991142937904|36756|0.9212695795548227|0.9994212436897382
51|76|0.07735738630495403|0.9173752883258168|0.00526732536922918|(1.123553083325674, 0.4623115577889447)|(0.0947603566795713, 0.04522613065326633)|(0.003644148198603644, 1.746528489247149e-05, 0.0008572944344871274)|0.14176511466296038|8481|0.9670755326016784|0.9971373510206373
51|77|0.09244250627391286|0.9055827539391945|0.001974739786892665|(1.1091134903591509, 0.45226130653266333)|(0.11325578865665749, 0.05025125628140704)|(0.0037790428779253104, 9.19271492663256e-06, 0.0019223606295093534)|0.20514293923286883|5672|0.9894319682959049|0.9989108731167181
51|78|0.013998550797061617|0.9842211783519065|0.0017802708510319325|(1.2054215334795046, 0.49246231155778897)|(0.017238576479949586, 0.010050251256281407)|(0.0031837315720757904, 8.021820025992386e-06, 0.0003517657378871951)|0.043149815676557686|28008|0.9402139710509755|0.9990964113262463
51|79|0.05348306052531405|0.9448277502854968|0.0016891891891891893|(1.1571755616604926, 0.4723618090452261)|(0.06554825459792891, 0.03015075376884422)|(0.003665548087490502, 7.457165411692247e-06, 0.0010757803599612608)|0.13426100037608124|9223|0.9844536895117145|0.9991068845365234
51|81|0.07030538903361476|0.909481811619221|0.020212799347164245|(1.1138884996762608, 0.47738693467336685)|(0.08610625687273091, 0.05527638190954774)|(0.0029254162514708707, 5.151964554483865e-05, 0.0005685147257026808)|0.10561349012646994|10814|0.8743169398907104|0.9890098638178778
51|82|0.052598225602027884|0.9275688870112191|0.01983288738675304|(1.1360365159541492, 0.4824120603015075)|(0.06443214418246382, 0.04522613065326633)|(0.0020393064719998032, 4.579945054751482e-05, 0.0005107063539262231)|0.09012875536480687|12790|0.8413741317814906|0.9894222945484134
51|84|0.5990942994139584|0.3966435801811401|0.004262120404901438|(0.4857923221978616, 0.20100502512562815)|(0.7337448911779562, 0.30150753768844224)|(0.0038456211387757964, 1.6803898504453035e-05, 0.0038499327748474504)|0.5215485756026297|2139|0.996455471865308|0.9946559786239144
51|85|0.08427408768705696|0.9137006338371526|0.002025278475790421|(1.1190524220478626, 0.457286432160804)|(0.10322522055956773, 0.04522613065326633)|(0.00373779850820752, 8.410244238165034e-06, 0.0014225256071542726)|0.1761006289308176|6786|0.9881266490765171|0.9988929435401206
51|87|0.05581094848793579|0.9405362423278583|0.003652809184205949|(1.1519190494200475, 0.4723618090452261)|(0.06838315023577311, 0.03015075376884422)|(0.0033068559103055823, 1.2588321634186798e-05, 0.0007548094674445292)|0.11185962713457621|9571|0.9683121362362578|0.9980618877477027
51|89|0.07916607972953937|0.9111142414424567|0.009719678828003944|(1.1158862969326189, 0.46733668341708545)|(0.09696752918750574, 0.05025125628140704)|(0.0031616195142807318, 4.53626547014447e-05, 0.0019897788493706955)|0.20073095305032332|5569|0.9421626152556579|0.9946943483275664
51|91|0.5520628683693517|0.4395874263261297|0.008349705304518664|(0.53838997067512, 0.22613065326633167)|(0.6761423883511238, 0.2864321608040201)|(0.003760008429912138, 4.5503090195154725e-05, 0.007685603019282706)|0.6157826649417852|1868|0.992494481236203|0.9905921416712784
51|92|0.7712620027434842|0.22016460905349794|0.008573388203017833|(0.26965953858181024, 0.12060301507537688)|(0.9446045160211638, 0.3919597989949749)|(0.00381733160204021, 6.0739466561708866e-05, 0.008962599991623738)|0.7157894736842105|1580|0.9944726951138625|0.9809014514896868
51|93|0.9942528735632183|0.005305039787798408|0.0004420866489832007|(0.007047622194916448, 0.005025125628140704)|(1.217706113162381, 0.49748743718592964)|(0.003917736248728347, 6.663113006396588e-05, 0.13186813186813187)|0.9800960878517502|1186|0.9997777283840854|0.9600000000000001
51|94|0.8404334828101644|0.1547085201793722|0.004857997010463378|(0.18949576067263393, 0.08040201005025126)|(1.0293207243079328, 0.4271356783919598)|(0.003859883980365908, 4.066566566566567e-05, 0.009482363719651856)|0.7595744680851064|1493|0.9971181556195965|0.9845422116527943
51|95|0.05698641249239505|0.9412137497465017|0.0017998377611032246|(1.1527467146344292, 0.4723618090452261)|(0.06979410652880381, 0.03015075376884422)|(0.0036066909893692463, 1.0217507713858552e-05, 0.0019190781560847476)|0.1737649063032368|7004|0.9844536895117145|0.9990447873642858
51|96|0.3278903630266803|0.6658405015308354|0.006269135442484327|(0.8154924401738726, 0.33668341708542715)|(0.40158306031495267, 0.1708542713567839)|(0.003713979027330526, 3.3552752730257716e-05, 0.0067472734632852)|0.5123789020452099|2302|0.9905307201057036|0.9953143728887436
51|97|0.1390916965722064|0.8578765004331147|0.0030318029946788763|(1.0506798788236091, 0.4321608040201005)|(0.17038092404294503, 0.07035175879396985)|(0.0037394619699379194, 1.580582957702955e-05, 0.0034734356700424)|0.3201075991930061|3842|0.9892189218921893|0.998236077612585
51|98|0.019751588829408508|0.9797209989188049|0.000527412251786609|(1.1999118550348349, 0.49246231155778897)|(0.024195806392269998, 0.010050251256281407)|(0.003650720152072722, 4.798832923832924e-06, 0.0017570605280362893)|0.10924112607099143|11450|0.9868247694334651|0.9997309079166891
52|61|0.22437242099250548|0.7639032509035759|0.011724328103918614|(0.9355897367353546, 0.3919597989949749)|(0.27480970737408095, 0.12562814070351758)|(0.0007858876746679596, 6.156649447217175e-06, 0.0002405872978256392)|0.22795405482465073|40595|0.9745382994877718|0.9923844798193513
52|62|0.6468442999505265|0.33961410700402855|0.013541593045444908|(0.4159549975632328, 0.18090452261306533)|(0.792219338146318, 0.33668341708542715)|(0.0008509932423203304, 1.3043344121731053e-05, 0.0009582105575372816)|0.5908155186064925|15183|0.9896410034602076|0.9804529687818813
52|63|0.5627243668551758|0.4289894270961397|0.008286206048684535|(0.5254079431421272, 0.22110552763819097)|(0.6891985300297961, 0.2914572864321608)|(0.0008380552211964474, 7.3220467784493345e-06, 0.0008998581925197786)|0.542664598080093|16841|0.9926912316467501|0.9904345604723113
